# Wavelength_Angstrom  Normalized_Flux
4.827300011582199659e+03 9.032968878746032715e-01
4.827350011582900152e+03 8.923025131225585938e-01
4.827400011583599735e+03 8.595231175422668457e-01
4.827450011584300228e+03 8.855960965156555176e-01
4.827500011584999811e+03 9.388324618339538574e-01
4.827550011585700304e+03 9.706592559814453125e-01
4.827600011586399887e+03 9.785519242286682129e-01
4.827650011587100380e+03 9.818210601806640625e-01
4.827700011587799963e+03 9.816511273384094238e-01
4.827750011588499547e+03 9.833435416221618652e-01
4.827800011589200039e+03 9.750909805297851562e-01
4.827850011589899623e+03 9.781377315521240234e-01
4.827900011590600116e+03 9.854080677032470703e-01
4.827950011591299699e+03 9.846622347831726074e-01
4.828000011592000192e+03 9.765911102294921875e-01
4.828050011592699775e+03 9.712215065956115723e-01
4.828100011593400268e+03 9.728723764419555664e-01
4.828150011594099851e+03 9.720137715339660645e-01
4.828200011594800344e+03 9.816178083419799805e-01
4.828250011595499927e+03 9.933276176452636719e-01
4.828300011596200420e+03 9.813249111175537109e-01
4.828350011596900003e+03 9.779872298240661621e-01
4.828400011597599587e+03 9.647444486618041992e-01
4.828450011598300080e+03 9.526788592338562012e-01
4.828500011598999663e+03 9.468439221382141113e-01
4.828550011599700156e+03 9.443694949150085449e-01
4.828600011600399739e+03 9.608456492424011230e-01
4.828650011601100232e+03 9.529686570167541504e-01
